timestamp,cpu_percent,cpu_level,mem_percent,mem_used_gb,mem_total_gb,battery_percent,battery_charging,drain_rate,thermal_estimate,ai_process_count,active_connections,fps_estimate,total_processes
2026-03-25T15:13:22.657393,86.6,HIGH,78.2,49.77,63.65,17,True,,,19,449,,581
2026-03-25T15:29:04.185186,87.7,HIGH,60.2,38.33,63.65,25,True,,,22,439,,603
2026-03-25T15:29:29.179226,96.1,CRITICAL,60.3,38.38,63.65,25,True,,,22,444,,598
2026-03-25T15:29:45.297580,81.8,HIGH,60.8,38.71,63.65,25,True,,,22,439,,596
2026-03-25T15:30:02.839238,94.3,CRITICAL,60.7,38.66,63.65,25,True,,,22,440,,596
2026-03-25T15:30:18.797774,86.4,HIGH,60.8,38.69,63.65,26,True,,,22,441,,596
2026-03-25T15:30:34.197332,81.9,HIGH,60.9,38.78,63.65,26,True,,,22,442,,594
2026-03-25T15:30:49.680297,93.8,CRITICAL,60.8,38.67,63.65,26,True,,,22,442,,597
2026-03-25T15:31:06.699131,85.6,HIGH,61.4,39.08,63.65,26,True,,,22,438,,597
2026-03-25T15:31:22.048891,78.1,HIGH,61.7,39.26,63.65,26,True,,,22,437,,597
2026-03-25T15:31:38.120733,88.2,HIGH,61.5,39.16,63.65,26,True,,,22,439,,597
2026-03-25T15:31:54.109139,83.3,HIGH,61.7,39.28,63.65,26,True,,,22,436,,594
2026-03-25T15:32:10.549177,76.1,HIGH,61.2,38.95,63.65,26,True,,,22,434,,595
2026-03-25T15:32:26.523216,77.4,HIGH,60.6,38.59,63.65,27,True,,,22,426,,595
2026-03-25T15:32:41.337364,76.5,HIGH,60.2,38.3,63.65,27,True,,,22,426,,594
2026-03-25T15:32:56.277435,70.7,HIGH,60.3,38.36,63.65,27,True,,,22,426,,594
2026-03-25T15:33:12.008220,89.3,HIGH,60.2,38.34,63.65,27,True,,,22,423,,594
2026-03-25T15:33:26.807272,69.7,FAIR,60.7,38.6,63.65,27,True,,,22,425,,594
2026-03-25T15:33:42.985725,91.5,CRITICAL,60.7,38.65,63.65,27,True,,,22,426,,598
2026-03-25T15:34:00.519941,92.0,CRITICAL,61.0,38.8,63.65,27,True,,,22,440,,603
